date,index,name,ticker,market_cap
2016-07-24,1,Bitcoin,BTC,$ 10.42B
2016-07-24,2,Ethereum,ETH,$ 1.05B
2016-07-24,3,Steem,STEEM,$ 332.90M
2016-07-24,4,XRP,XRP,$ 223.98M
2016-07-24,5,Litecoin,LTC,$ 190.29M
2016-07-24,6,Ethereum Classic,ETC,$ 75.11M
2016-07-24,7,Dash,DASH,$ 61.59M
2016-07-24,8,NEM,XEM,$ 61.51M
2016-07-24,9,Lisk,LSK,$ 28.55M
2016-07-24,10,Dogecoin,DOGE,$ 26.44M
2016-07-24,11,Monero,XMR,$ 23.50M
2016-07-24,12,Waves,WAVES,$ 19.93M
2016-07-24,13,BitShares,BTS,$ 13.57M
2016-07-24,14,Stellar,XLM,$ 12.64M
2016-07-24,15,Siacoin,SC,$ 10.91M
2016-07-24,16,Peercoin,PPC,$ 9.79M
2016-07-24,17,Tether,USDT,$ 6.95M
2016-07-24,18,Namecoin,NMC,$ 5.61M
2016-07-24,19,Syscoin,SYS,$ 3.78M
2016-07-24,20,Decred,DCR,$ 3.78M
2016-07-24,21,DigiByte,DGB,$ 2.65M
2016-07-24,22,FedoraCoin,TIPS,$ 2.57M
2016-07-24,23,Feathercoin,FTC,$ 2.12M
2016-07-24,24,MonaCoin,MONA,$ 1.75M
