date,index,name,ticker,market_cap
2021-02-18,1,Bitcoin,BTC,$ 966.59B
2021-02-18,2,Ethereum,ETH,$ 221.32B
2021-02-18,3,Tether,USDT,$ 33.20B
2021-02-18,4,Binance Coin,BNB,$ 30.02B
2021-02-18,5,Cardano,ADA,$ 28.68B
2021-02-18,6,Polkadot,DOT,$ 27.70B
2021-02-18,7,XRP,XRP,$ 23.27B
2021-02-18,8,Litecoin,LTC,$ 15.19B
2021-02-18,9,Chainlink,LINK,$ 13.29B
2021-02-18,10,Bitcoin Cash,BCH,$ 13.19B
2021-02-18,11,Stellar,XLM,$ 10.76B
2021-02-18,12,Dogecoin,DOGE,$ 7.74B
2021-02-18,13,USD Coin,USDC,$ 7.37B
2021-02-18,14,Aave,AAVE,$ 5.75B
2021-02-18,15,Cosmos,ATOM,$ 4.92B
2021-02-18,16,Monero,XMR,$ 4.62B
2021-02-18,17,Bitcoin SV,BSV,$ 4.52B
2021-02-18,18,IOTA,IOTA,$ 4.21B
2021-02-18,19,Uniswap,UNI,$ 3.87B
2021-02-18,20,NEM,XEM,$ 3.86B
2021-02-18,21,Tezos,XTZ,$ 3.75B
2021-02-18,22,TRON,TRX,$ 3.67B
2021-02-18,23,Avalanche,AVAX,$ 3.16B
2021-02-18,24,NEO,NEO,$ 3.11B
